t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
5.999598259122863181e-02,7.718032780052104247e-01,-1.045850426556856477e-01,4.720350095230474996e-01,8.422332357354335164e-01,5.599389957881962809e-01,-1.032499848473148019e+00,-1.239922683715026785e-01,8.643896597834075379e-01,4.082773013837442955e-01,8.422332357354335164e-01,5.599389957881962809e-01,-1.032499848473148019e+00
6.099591563441578157e-02,7.718353909416804104e-01,-1.049208846439567966e-01,4.719222471357904514e-01,8.541331569685473024e-01,5.704614142120689735e-01,-1.061157934935754499e+00,-1.259908622715560922e-01,8.804105690014123464e-01,4.163543891273882025e-01,8.541331569685473024e-01,5.704614142120689735e-01,-1.061157934935754499e+00
6.199584867760292439e-02,7.718670219856581527e-01,-1.052685148223893447e-01,4.718079059006222709e-01,8.657280465985927043e-01,5.809678283829700085e-01,-1.090246015348470321e+00,-1.279661603002830439e-01,8.963436906131901916e-01,4.244354269324919215e-01,8.657280465985927043e-01,5.809678283829700085e-01,-1.090246015348470321e+00
6.299578172079006722e-02,7.718981056997288315e-01,-1.056282060667701472e-01,4.716920155460890829e-01,8.770173855962772880e-01,5.914578822113834011e-01,-1.119764295734355208e+00,-1.299172408549814084e-01,9.121892227242769380e-01,4.325201918463517647e-01,8.770173855962772880e-01,5.914578822113834011e-01,-1.119764295734355208e+00
6.399571476397721004e-02,7.719285755488951573e-01,-1.060002309606384863e-01,4.715746056351465820e-01,8.880006427076192477e-01,6.019312107050338589e-01,-1.149712973235468061e+00,-1.318431579560175315e-01,9.279473641394296868e-01,4.406084458639758505e-01,8.880006427076192477e-01,6.019312107050338589e-01,-1.149712973235468061e+00
6.499564780716435286e-02,7.719583638596009267e-01,-1.063848617756889964e-01,4.714557055726796286e-01,8.986772743320682322e-01,6.123874401442059856e-01,-1.180092236098636782e+00,-1.337429411960930348e-01,9.436183142244659594e-01,4.486999358056337206e-01,8.986772743320682322e-01,6.123874401442059856e-01,-1.180092236098636782e+00
6.599558085035149568e-02,7.719874017777847985e-01,-1.067823704516610434e-01,4.713353446138074943e-01,9.090467243936420916e-01,6.228261882596929366e-01,-1.210902263658750755e+00,-1.356155956877766189e-01,9.592022727601766663e-01,4.567943931900080301e-01,9.090467243936420916e-01,6.228261882596929366e-01,-1.210902263658750755e+00
6.699551389353863851e-02,7.720156192259709504e-01,-1.071930285757045631e-01,4.712135518729690942e-01,9.191084242048651598e-01,6.332470644133584292e-01,-1.242143226319397220e+00,-1.374601020092908465e-01,9.746994397879850114e-01,4.648915341028972414e-01,9.191084242048651598e-01,6.332470644133584292e-01,-1.242143226319397220e+00
6.799544693672578133e-02,7.720429448594109401e-01,-1.076171073612090801e-01,4.710903563337994204e-01,9.288617923232831419e-01,6.436496697812843504e-01,-1.273815285530631281e+00,-1.392754161485629805e-01,9.901100154470225956e-01,4.729910590614347932e-01,9.288617923232831419e-01,6.436496697812843504e-01,-1.273815285530631281e+00
6.899537997991292415e-02,7.720693060212880932e-01,-1.080548776260842059e-01,4.709657868597912911e-01,9.383062344003585409e-01,6.540335975394959700e-01,-1.305918593763681246e+00,-1.410604694455445673e-01,1.005434199802293538e+00,4.810926528737774488e-01,9.383062344003585409e-01,6.540335975394959700e-01,-1.305918593763681246e+00
6.999531302310006697e-02,7.720946286969929684e-01,-1.085066097704778104e-01,4.708398722057526298e-01,9.474411430225091468e-01,6.643984330522370030e-01,-1.338453294482401912e+00,-1.428141685328130350e-01,1.020672192663592659e+00,4.891959844942140312e-01,9.474411430225091468e-01,6.643984330522370030e-01,-1.338453294482401912e+00
7.099524606628722367e-02,7.721188374674926580e-01,-1.089725737539194300e-01,4.707126410300566666e-01,9.562658975441145071e-01,6.747437540628002939e-01,-1.371419522111256395e+00,-1.445353952744720116e-01,1.035824193394853543e+00,4.973007068736609582e-01,9.562658975441145071e-01,6.747437540628002939e-01,-1.371419522111256395e+00
7.199517910947436650e-02,7.721418554617942576e-01,-1.094530390718735230e-01,4.705841219076911663e-01,9.647798639122424635e-01,6.850691308868950280e-01,-1.404817401999636894e+00,-1.462230067033732095e-01,1.050890400713570649e+00,5.054064568054840167e-01,9.647798639122424635e-01,6.850691308868950280e-01,-1.404817401999636894e+00
7.299511215266150932e-02,7.721636086752187156e-01,-1.099482479735232332e-01,4.704543402173493871e-01,9.730714760275889219e-01,6.953736446840877994e-01,-1.438527222474184297e+00,-1.478757041980677533e-01,1.065900664726719071e+00,5.135128768131006494e-01,9.730714760275889219e-01,6.953736446840877994e-01,-1.438527222474184297e+00
7.399504519584865214e-02,7.721840420949683814e-01,-1.104583172060315532e-01,4.703233066958885655e-01,9.812893932110722250e-01,7.056559117277014792e-01,-1.472348647476261929e+00,-1.494921549138457650e-01,1.080904836917139678e+00,5.216196992697277324e-01,9.812893932110722250e-01,7.056559117277014792e-01,-1.472348647476261929e+00
7.499497823903579496e-02,7.722031157287168046e-01,-1.109832643115656603e-01,4.701910205690458255e-01,9.894933977204085629e-01,7.159149316975130795e-01,-1.506201280620306893e+00,-1.510712557150064583e-01,1.095923126687269988e+00,5.297267328587978996e-01,9.894933977204085629e-01,7.159149316975130795e-01,-1.506201280620306893e+00
7.599491128222293779e-02,7.722207915464255334e-01,-1.115230885539423566e-01,4.700574790314202001e-01,9.976832272845443939e-01,7.261500560199172227e-01,-1.540085528619917099e+00,-1.526120374173794425e-01,1.110955736786485293e+00,5.378337994651176679e-01,9.976832272845443939e-01,7.261500560199172227e-01,-1.540085528619917099e+00
7.699484432541008061e-02,7.722370305472173735e-01,-1.120777889595472865e-01,4.699226793569731830e-01,1.005709609776297864e+00,7.363938502087472582e-01,-1.573839828682029207e+00,-1.541472883590058740e-01,1.125807766342551641e+00,5.459496654692925777e-01,1.005709609776297864e+00,7.363938502087472582e-01,-1.573839828682029207e+00
7.799477736859722343e-02,7.722517927603748111e-01,-1.126473643122526541e-01,4.697866188992806391e-01,1.013238515625038971e+00,7.467206480017056780e-01,-1.607100049301696698e+00,-1.557525850252087507e-01,1.140041153679032915e+00,5.540941988357175330e-01,1.013238515625038971e+00,7.467206480017056780e-01,-1.607100049301696698e+00
7.899471041178436626e-02,7.722650527415468868e-01,-1.132317204920266357e-01,4.696492842996840555e-01,1.020086083077431205e+00,7.571723571395464480e-01,-1.639662914640033220e+00,-1.574709631968968793e-01,1.153412735286315716e+00,5.622783606068216811e-01,1.020086083077431205e+00,7.571723571395464480e-01,-1.639662914640033220e+00
7.999464345497150908e-02,7.722767337843450264e-01,-1.138310641808789186e-01,4.695106973477836676e-01,1.026353597156265174e+00,7.677477590245743722e-01,-1.671394574074791084e+00,-1.593026602050241491e-01,1.165955653518187640e+00,5.705016991599316523e-01,1.026353597156265174e+00,7.677477590245743722e-01,-1.671394574074791084e+00
8.099457649815865190e-02,7.722868536229848813e-01,-1.144450326910351756e-01,4.693708136368073269e-01,1.032193205559426952e+00,7.784459738483967550e-01,-1.702093360258023935e+00,-1.612488086154426348e-01,1.177719690847185863e+00,5.787643049609126900e-01,1.032193205559426952e+00,7.784459738483967550e-01,-1.702093360258023935e+00
8.199450954134579472e-02,7.722954029086849248e-01,-1.150734237379854447e-01,4.692296075819950008e-01,1.037658449374881053e+00,7.892666935107959247e-01,-1.731690086772387449e+00,-1.633106319147172580e-01,1.188721846810595562e+00,5.870661544788881026e-01,1.037658449374881053e+00,7.892666935107959247e-01,-1.731690086772387449e+00
8.299444258453293755e-02,7.723023834784729091e-01,-1.157159673998894578e-01,4.690870458490234984e-01,1.042752197674378101e+00,8.002104341627082063e-01,-1.760183347180802826e+00,-1.654898067722445909e-01,1.198962188581361277e+00,5.954073172597695862e-01,1.042752197674378101e+00,8.002104341627082063e-01,-1.760183347180802826e+00
